folder	file	line	flags	法人番号	会社名
unit_million	111.fixed.csv	46	corporate_number_invalid_shape	6.05E+12	常陽運送株式会社
unit_million	111.fixed.csv	47	corporate_number_invalid_shape	3.05E+12	八潮化学株式会社
unit_million	111.fixed.csv	48	corporate_number_invalid_shape	5.05E+12	千代田メインテナンス株式会社
unit_million	111.fixed.csv	49	corporate_number_invalid_shape	3.05E+12	株式会社伊藤鋳造鉄工所
unit_million	111.fixed.csv	50	corporate_number_invalid_shape	9.05E+12	生熊運送株式会社
unit_million	111.fixed.csv	51	corporate_number_invalid_shape	8.05E+12	株式会社カドヤカンパニー
unit_million	111.fixed.csv	52	corporate_number_invalid_shape	7.05E+12	タップスイミング株式会社
unit_million	111.fixed.csv	53	corporate_number_invalid_shape	2.05E+12	横関油脂工業株式会社
unit_million	111.fixed.csv	54	corporate_number_invalid_shape	2.05E+12	株式会社浜勘
unit_million	111.fixed.csv	55	corporate_number_invalid_shape	5.05E+12	袋田食品株式会社
unit_million	111.fixed.csv	56	corporate_number_invalid_shape	9.05E+12	株式会社オノデラオート
unit_million	111.fixed.csv	57	corporate_number_invalid_shape	2.05E+12	カガミクリスタル株式会社
unit_million	111.fixed.csv	58	corporate_number_invalid_shape	9.05E+12	いずみや塗巧株式会社
unit_million	111.fixed.csv	59	corporate_number_invalid_shape	7.05E+12	不二プラスチック株式会社
unit_million	111.fixed.csv	60	corporate_number_invalid_shape	3.05E+12	株式会社オルク
unit_million	111.fixed.csv	61	corporate_number_invalid_shape	2.05E+12	有限会社三輝
unit_million	111.fixed.csv	62	corporate_number_invalid_shape	9.05E+12	株式会社つくばロジスティックス
unit_million	111.fixed.csv	63	corporate_number_invalid_shape	8.05E+12	株式会社染野製作所
unit_million	111.fixed.csv	64	corporate_number_invalid_shape	9.05E+12	高須産業株式会社
unit_million	111.fixed.csv	65	corporate_number_invalid_shape	5.05E+12	日興建設株式会社
unit_million	111.fixed.csv	66	corporate_number_invalid_shape	8.05E+12	株式会社ホッタバイオファーム
unit_million	111.fixed.csv	67	corporate_number_invalid_shape	4.05E+12	株式会社宏機製作所
unit_million	111.fixed.csv	68	corporate_number_invalid_shape	1.05E+12	茨城スチールセンター株式会社
unit_million	111.fixed.csv	69	corporate_number_invalid_shape	4.05E+12	八紘電子株式会社
unit_million	111.fixed.csv	70	corporate_number_invalid_shape	5.05E+12	カブトプラテク株式会社
unit_million	111.fixed.csv	71	corporate_number_invalid_shape	4.05E+12	川上商事株式会社
unit_million	111.fixed.csv	72	corporate_number_invalid_shape	6.05E+12	塚本産業株式会社
unit_million	111.fixed.csv	73	corporate_number_invalid_shape	1.05E+12	桐生工業株式会社
unit_million	111.fixed.csv	74	corporate_number_invalid_shape	2.05E+12	株式会社ミドリヤ
unit_million	111.fixed.csv	75	corporate_number_invalid_shape	6.05E+12	有限会社マツカゼ
