folder	file	data_rows	header_chars	encoding_guess
unit_million	import_firstTime_74.csv	70	88	utf-8-sig
unit_million	import_firstTime_75.csv	300	88	utf-8
unit_million	import_firstTime_76.csv	300	88	utf-8
unit_million	import_firstTime_77.csv	300	88	utf-8-sig
unit_million	import_firstTime_8.csv	299	88	utf-8-sig
unit_million	import_firstTime_9.csv	300	88	utf-8
unit_million	import_firstTime_90.csv	300	75	utf-8-sig
unit_million	yuzuri_1.csv	122	53	utf-8-sig
unit_million	yuzuri_10.csv	100	59	utf-8-sig
unit_million	yuzuri_12.csv	20	53	utf-8-sig
unit_million	yuzuri_14.csv	40	53	utf-8-sig
unit_million	yuzuri_16.csv	30	53	utf-8-sig
unit_million	yuzuri_17.csv	20	57	utf-8-sig
unit_million	yuzuri_19.csv	77	53	utf-8-sig
unit_million	yuzuri_2.csv	222	52	utf-8-sig
unit_million	yuzuri_21.csv	204	53	utf-8-sig
unit_million	yuzuri_3.csv	20	53	utf-8-sig
unit_million	yuzuri_5.csv	65	53	utf-8-sig
unit_million	yuzuri_6.csv	103	53	utf-8-sig
unit_million	yuzuri_8.csv	50	53	utf-8-sig
unit_million	yuzuri_9.csv	52	53	utf-8-sig
unit_yen	10.csv	1446	174	utf-8
unit_yen	11_20251224.csv	259	174	utf-8
unit_yen	13.csv	284	174	utf-8
unit_yen	15.csv	226	174	utf-8-sig
unit_yen	16_20251224.csv	2415	174	utf-8
unit_yen	19.csv	845	174	utf-8
unit_yen	20.csv	1388	174	utf-8-sig
unit_yen	23.csv	766	174	utf-8
unit_yen	24.csv	1124	174	utf-8
unit_yen	27.csv	1106	174	utf-8
unit_yen	29.csv	1410	174	utf-8-sig
unit_yen	30.csv	507	174	utf-8
unit_yen	31.csv	434	174	utf-8-sig
unit_yen	import_firstTime_105.csv	299	81	utf-8
unit_yen	import_firstTime_124.csv	2000	173	utf-8
unit_yen	import_firstTime_3.csv	1276	167	utf-8
unit_yen	import_firstTime_40.csv	901	145	utf-8
unit_yen	import_firstTime_5.csv	1128	167	utf-8
unit_yen	import_firstTime_6.csv	838	167	utf-8-sig
unit_yen	import_firstTime_78.csv	300	75	utf-8
unit_yen	import_firstTime_79.csv	300	75	utf-8
unit_yen	import_firstTime_80.csv	300	75	utf-8-sig
unit_yen	import_firstTime_81.csv	300	75	utf-8
unit_yen	import_firstTime_82.csv	300	75	utf-8
unit_yen	import_firstTime_83.csv	300	75	utf-8
unit_yen	import_firstTime_84.csv	300	75	utf-8
unit_yen	import_firstTime_85.csv	300	75	utf-8-sig
unit_yen	import_firstTime_86.csv	300	75	utf-8
unit_yen	import_firstTime_87.csv	300	75	utf-8-sig
unit_yen	import_firstTime_88.csv	300	75	utf-8
unit_yen	import_firstTime_89.csv	300	75	utf-8-sig
unit_yen	import_firstTime_91.csv	300	75	utf-8
unit_yen	import_firstTime_92.csv	300	75	utf-8
unit_yen	import_firstTime_93.csv	300	75	utf-8-sig
unit_yen	import_firstTime_94.csv	300	75	utf-8
unit_yen	import_firstTime_95.csv	300	75	utf-8
unit_yen	import_firstTime_96.csv	300	75	utf-8-sig
unit_yen	import_firstTime_97.csv	300	75	utf-8-sig
unit_yen	import_firstTime_98.csv	300	75	utf-8-sig
unit_yen	import_firstTime_99.csv	300	75	utf-8
