line	会社ID	リストID	法人番号	会社名	状態	AD
2349	3202212	166057118	3050001050499	NOTATSUファシリティーズ株式会社	未送信	未契約
2360	3236731	166057129	9011001146038	株式会社BBB	未送信	未契約
2383	3312162	166057152		A-1 Bakery Co., (HK) Ltd.	未送信	未契約
2400	4029548	166057169	6011001063211	株式会社FOMIC'SGroup	未送信	未契約
2436	5233100	166057205	7500001024222	株式会社デルタ四国	未送信	未契約
2461	5277036	166057230	8020001147533	ASIANSTARLIFECREATION株式会社	未送信	未契約
2553	5417018	166057322	3180001156606	株式会社サンキョーイノベーション	未送信	未契約
2572	5454512	166057341	9011101100621	EBAテック株式会社	未送信	未契約
2589	5473708	166057358	1320001019997	Go‐On Company株式会社	未送信	未契約
2595	5485766	166057364	2011101104661	株式会社木下不動産開発	未送信	未契約
2599	5496987	166057368	5012401041229	株式会社B級グルメ研究所ホールディングス	未送信	未契約
2604	5503619	166057373	9020003025141	合同会社さくら	未送信	未契約
2622	5545802	166057391	1010001242275	株式会社小学館LX	未送信	未契約
2641	5591796	166057410	8011001161863	株式会社オルカ	未送信	未契約
2644	5603459	166057413	1013101009429	株式会社あかつき	未送信	未契約
2645	5603922	166057414	7010701046094	相鉄クリーンエナジー株式会社	未送信	未契約
2646	5604789	166057415	9010001245510	AURIX CAPITAL株式会社	未送信	未契約
2656	5618101	166057425	6011101108031	REVortex株式会社	未送信	未契約
2691	5683627	166057460	3010001250739	コーンウォール・ニッポン・マネジメント株式会社	未送信	未契約
2695	5706519	166057464	6010401188023	食共創パートナーズ株式会社	未送信	未契約
2696	5711546	166057465	1180001165518	株式会社relight	未送信	未契約
2697	5712619	166057466	6290001109046	エイト・シーズ株式会社	未送信	未契約
2705	5741399	166057474	2011001169094	株式会社マイクロニティ	未送信	未契約
2706	5743231	166057475		CHIYODA INTEGRE (SHANGHAI) CO., LTD.	未送信	未契約
2714	5775747	166057483	6010401191506	社内承継支援機構株式会社	未送信	未契約
2715	5776434	166057484	5010001256528	株式会社CAC identity	未送信	未契約
2717	5780518	166057486		Kindrland International Pte. Ltd.	未送信	未契約
2722	5796766	166057491	4290801031797	株式会社丸佐承継社	未送信	未契約
