file_rel	cat1_column_count_mismatch	cat1_shift_heuristic	cat2_date_anomaly	cat3_dup_header_file	cat3_ift_j_nonempty_rows	cat3_addr_anomaly	cat3_fin_unit_note	cat3_shareholder_gap	cat5_dup_name_hits
unit_million/import_firstTime_42.csv	0	0	9590	0	5003	0	0	0	4912
unit_million/import_firstTime_43.csv	0	0	9626	0	5003	0	0	0	4907
unit_million/import_firstTime_44.csv	0	0	9652	0	5003	0	0	0	4905
unit_million/import_firstTime_45.csv	0	0	9543	0	5003	0	0	0	4924
unit_million/import_firstTime_46.csv	0	0	9551	0	5003	0	0	0	4908
unit_million/import_firstTime_47.csv	0	0	9629	0	5003	0	0	0	4948
unit_million/import_firstTime_48.csv	0	0	9581	0	5003	0	0	0	4948
unit_million/import_firstTime_49.csv	0	0	9780	0	5003	0	0	0	4770
unit_million/import_firstTime_50.csv	0	0	1627	0	846	0	0	0	783
unit_million/import_firstTime_52.csv	0	0	13673	0	7270	0	0	0	3329
unit_million/import_firstTime_54.csv	0	0	0	0	299	0	0	0	293
unit_million/import_firstTime_55.csv	0	0	0	0	242	0	0	0	295
unit_million/import_firstTime_56.csv	0	0	0	0	299	0	0	0	292
unit_million/import_firstTime_57.csv	0	0	0	0	299	0	0	0	295
unit_million/import_firstTime_58.csv	0	0	0	0	223	0	0	0	296
unit_million/import_firstTime_59.csv	0	0	0	0	300	0	0	0	296
unit_million/import_firstTime_60.csv	0	0	0	0	300	0	0	0	295
unit_million/import_firstTime_62.csv	0	0	0	0	243	0	0	0	300
unit_million/import_firstTime_63.csv	0	0	0	0	166	0	0	0	162
unit_million/import_firstTime_64.csv	0	0	0	0	207	0	0	0	297
unit_million/import_firstTime_65.csv	0	0	0	0	256	0	0	0	287
unit_million/import_firstTime_66.csv	0	0	0	0	234	0	0	0	297
unit_million/import_firstTime_67.csv	0	0	0	0	251	0	0	0	294
unit_million/import_firstTime_68.csv	0	0	0	0	248	0	0	0	295
unit_million/import_firstTime_69.csv	0	0	0	0	228	0	0	0	299
unit_million/import_firstTime_7.csv	0	0	0	0	229	0	0	0	296
unit_million/import_firstTime_70.csv	0	0	0	0	236	0	0	0	296
unit_million/import_firstTime_71.csv	0	0	0	0	265	0	0	0	299
unit_million/import_firstTime_72.csv	0	0	0	0	187	0	0	0	295
unit_million/import_firstTime_73.csv	0	0	0	0	116	0	0	0	293
unit_million/import_firstTime_74.csv	0	0	0	0	24	0	0	0	66
unit_million/import_firstTime_75.csv	0	0	1	0	189	0	0	0	298
unit_million/import_firstTime_76.csv	0	0	0	0	266	0	0	0	296
unit_million/import_firstTime_77.csv	0	0	0	0	248	0	0	0	299
unit_million/import_firstTime_8.csv	0	0	0	0	299	0	0	0	297
unit_million/import_firstTime_9.csv	0	0	0	0	234	0	0	0	298
unit_million/import_firstTime_90.csv	0	0	0	1	164	0	0	0	242
unit_yen/10.csv	0	0	0	0	0	109	1443	0	1322
unit_yen/11_20251224.csv	0	0	0	0	0	3	255	0	81
unit_yen/13.csv	0	0	0	0	0	31	276	0	264
unit_yen/15.csv	0	0	0	0	0	31	204	0	200
unit_yen/16_20251224.csv	0	0	0	0	0	29	2398	0	678
unit_yen/19.csv	0	1	1	0	0	36	831	0	794
unit_yen/20.csv	0	0	0	0	0	74	1385	0	1298
unit_yen/23.csv	0	0	0	0	0	88	718	0	554
unit_yen/24.csv	0	1	0	0	0	100	1120	0	1021
unit_yen/27.csv	0	0	0	0	0	63	1099	0	1057
unit_yen/29.csv	0	0	0	0	0	163	1335	2	1143
unit_yen/30.csv	0	1	1	0	0	31	456	1	438
unit_yen/31.csv	0	0	0	0	0	35	374	0	325
unit_yen/import_firstTime_105.csv	0	0	0	1	269	0	0	0	235
unit_yen/import_firstTime_124.csv	0	0	0	0	1989	0	0	0	1974
unit_yen/import_firstTime_3.csv	0	0	1	0	1213	0	0	0	1214
unit_yen/import_firstTime_40.csv	0	0	3	0	901	0	0	0	879
unit_yen/import_firstTime_5.csv	0	0	1	0	1110	0	0	0	1026
unit_yen/import_firstTime_6.csv	0	0	1	0	775	0	0	0	733
unit_yen/import_firstTime_78.csv	0	0	0	1	282	0	0	0	248
unit_yen/import_firstTime_79.csv	0	0	0	1	277	0	0	0	281
unit_yen/import_firstTime_80.csv	0	0	0	1	267	0	0	0	279
unit_yen/import_firstTime_81.csv	0	0	0	1	251	0	0	0	298
unit_yen/import_firstTime_82.csv	0	0	0	1	272	0	0	0	273
unit_yen/import_firstTime_83.csv	0	0	1	1	262	0	0	0	239
unit_yen/import_firstTime_84.csv	0	0	0	1	164	0	0	0	247
unit_yen/import_firstTime_85.csv	0	0	0	1	263	0	0	0	227
unit_yen/import_firstTime_86.csv	0	0	0	1	262	0	0	0	250
unit_yen/import_firstTime_87.csv	0	0	0	1	240	0	0	0	260
unit_yen/import_firstTime_88.csv	0	0	0	1	261	0	0	0	224
unit_yen/import_firstTime_89.csv	0	0	0	1	226	0	0	0	216
unit_yen/import_firstTime_91.csv	0	0	0	1	278	0	0	0	231
unit_yen/import_firstTime_92.csv	0	0	0	1	276	0	0	0	230
unit_yen/import_firstTime_93.csv	0	0	0	1	249	0	0	0	225
unit_yen/import_firstTime_94.csv	0	0	0	1	282	0	0	0	214
unit_yen/import_firstTime_95.csv	0	0	1	1	288	0	0	0	226
unit_yen/import_firstTime_96.csv	0	0	1	1	274	0	0	0	219
unit_yen/import_firstTime_97.csv	0	0	0	1	285	0	0	0	219
unit_yen/import_firstTime_98.csv	0	0	0	1	288	0	0	0	240
unit_yen/import_firstTime_99.csv	0	0	0	1	288	0	0	0	224
